INVENTARIO,PRODUCTO,PESO,$ PUBLICO,$ PROV,PUNTO DE VENTA,,,,
15,PIERNA Y MUSLO,"0,67",," $162,14 ",RENACER,,,,
17,PIERNA Y MUSLO,655,," $158,51 ",RENACER,,,,
18,PIERNA Y MUSLO,715," $207,35 ",,PAG. WEB,,,,
23,PIERNA Y MUSLO,"0,72"," $208,80 ",,PAG. WEB,,,,
24,PIERNA Y MUSLO,"0,66"," $191,40 "," $159,72 ",RENACER,,,,
25,PIERNA Y MUSLO,725," $210,25 ",,PAG. WEB,,,,
27,PIERNA Y MUSLO,715," $207,35 ",,PAG. WEB,,,,
30,PIERNA Y MUSLO,675,,"$163,35",RENACER,,,,
#,PRODUCTO,PESO, $ PUBLICO , $ PROV ,CLIENTE,,,,
4,PIERNA Y MUSLO,755," $211,40 ",,PAG. WEB,,,,
5,PIERNA Y MUSLO,895," $250,60 ",,PAG. WEB,,,,
#,PRODUCTO,PESO, $ PUBLICO , $ PROV ,CLIENTE,,,,
1,PIERNA Y MUSLO,"0,81",," $196,02 ",RENACER,,,,
2,PIERNA Y MUSLO,"0,71",," $171,82 ",RENACER,,,,
3,PIERNA Y MUSLO,765.0,," $185,13 ",RENACER,,,,
4,PIERNA Y MUSLO,775.0,," $187,55 ",RENACER,,,,
5,PIERNA Y MUSLO,775.0,," $187,55 ",RENACER,,,,
6,PIERNA Y MUSLO,735.0,," $177,87 ",RENACER,,,,
7,PIERNA Y MUSLO,"0,79",,"$191,18",RENACER,,,,
8,PIERNA Y MUSLO,755.0,,"$182,71",RENACER,,,,
9,PIERNA Y MUSLO,"0,81",,"$196,02",RENACER,,,,
10,PIERNA Y MUSLO,785.0,,"$189,97",RENACER,,,,
11,PIERNA Y MUSLO,865.0," $242,20 ",,PAG. WEB,,,,
12,PIERNA Y MUSLO,"0,81","$226,80",,PAG. WEB,,,,
13,PIERNA Y MUSLO,"0,8","$224,00",,PAG. WEB,,,,
14,PIERNA Y MUSLO,"0,78","$218,40",,PAG. WEB,,,,
15,PIERNA Y MUSLO,"0,85","$238,00",,PAG. WEB,,,,
17,PIERNA Y MUSLO,"0,7"," $196,00 ",,PAG. WEB,,,,
18,PIERNA Y MUSLO,795.0," $222,60 ",,PAG. WEB,,,,
19,PIERNA Y MUSLO,745.0,"$208,60",,PAG. WEB,,,,
20,PIERNA Y MUSLO,"0,73"," $204,40 ",,PAG WEB,,,,
21,PIERNA Y MUSLO,735.0,," $177,87 ",FAM HOCH,,,,
22,PIERNA Y MUSLO,"0,8",," $193,60 ",FAM HOCH,,,,
23,PIERNA Y MUSLO,805.0,," $194,81 ",FAM HOCH,,,,
24,PIERNA Y MUSLO,0.7, $ 203.00 ,,PAG WEB,,,,
25,PIERNA Y MUSLO,0.7, $ 197.40 ,,PAG WEB,,,,
#,PRODUCTO,PESO, $ PUBLICO , $ PROV ,CLIENTE,,,,
1,PIERNA Y MUSLO,0.775,, $ 178.25 ,RENACER,,,,
2,PIERNA Y MUSLO,0.91,, $ 209.30 ,RENACER,,,,
3,PIERNA Y MUSLO,0.75,, $ 172.50 ,RENACER,,,,
5,PIERNA Y MUSLO,0.76,, $ 174.80 ,RENACER,,,,
